Anio,Trimestre,anio_trim,Empresa,NombreCorto,NombreLargo,SIC,NAICS,Activos,Inventarios,PasivoCirc,PasivoLP,PPE,CPP,Efectivo,GC,CBV,UOAD,Ventas,IGR,Deuda,CPC,GO,GVGA,Precio_Accion,mkt_capital,No_Acciones
2007,2,2007-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,43544.314,5175.984,12653.323,2667.429,21791.995,5830.246,229.64,,,,,,2667.428955,14561.01367,,,119607.49,80800.21,0.675544734
2007,3,2007-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,45236.496,6212.93,13407.624,2667.429,22643.548,5613.004,293.767,,5619.22998,870.4879761,9546.323242,206.7799988,2667.428955,14283.11426,8675.834961,3056.60498,34897.1,82645.71,2.36826871
2007,4,2007-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,49585.933,6094.645,12316.818,5878.571,23727.162,6638.958,729.986,,8607.90918,2809.858887,14705.76074,221.8860016,5878.570801,16682.57227,11895.90234,3287.993164,17547.27,81696.26,4.655781783
2008,1,2008-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,48648.288,6344.185,11538.623,5878.572,24354.131,4957.48,204.92,,5427.709961,502.9970093,8882.518555,211.9550018,5878.572266,15417.44434,8379.521484,2951.811523,16853.28,80531.77,4.778403373
2008,2,2008-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,50067.432,6283.446,12079.372,5185.714,24354.09,5631.826,266.676,,6969.152832,1881.020996,11997.4834,212.8809967,5185.713867,16346.68848,10116.46289,3147.310059,258704.37,79055.35,0.305581811
2008,3,2008-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,51243.797,7221.047,11862.996,6185.714,25116.063,5302.247,245.09,996.2449951,5572.869141,831.9580078,9635.496094,215.5859985,6185.713867,15982.07324,8803.538086,3230.668945,120174.74,65570.16,0.545623481
2008,4,2008-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,52347.983,6657.344,12481.306,5792.857,25874.993,6061.867,1281.413,,8379.302734,2401.439941,14774.52832,220.5910034,5792.856934,15966.39063,12373.08789,3993.785156,52533.56,52345.65,0.996423048
2009,1,2009-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,50301.95,6464.327,10929.775,5792.857,26211.561,4585.54,1686.084,603.7369995,5644.319824,228.8480072,9199.981445,207.9490051,5792.856934,13230.79004,8971.133789,3326.813965,66651.91,46779.42,0.701846654
2009,2,2009-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,51435.92,6102.026,11616.789,5000,26225.258,5242.417,2522.597,,6875.101074,1486.420044,11702.06543,200.996994,5000,13874.65527,10215.64551,3340.544434,15451.01,63853.04,4.13261269
2009,3,2009-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,51962.117,6597.858,11637.05,5000,26005.346,5416.482,3630.54,,6103.73877,755.1929932,10092.79688,203.2449951,5000,12997.76855,9337.603516,3233.864746,271368.45,73623.34,0.271303978
2009,4,2009-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,59168.045,6135.802,13649.452,8171.456,26743.007,6147.245,6510.779,,8964.691406,3169.25293,15721.69727,319.276001,8171.456055,17657.4375,12552.44434,3587.75293,139963.11,80235.6,0.573262483
2010,1,2010-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,57372.04,7014.51,11948.217,8171.456,26803.774,5433.031,3840.08,313.6000061,5978.680176,660.3530273,9781.529297,184.8820038,8171.456055,16736.97461,9121.175781,3142.495605,142116.8,91091.41,0.640961589
2010,2,2010-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,61820.225,7150.991,11879.772,11171.456,27251.06,5824.938,4393.093,695.4959717,7624.040039,1916.668945,13008.60645,219.8820038,11171.45605,18271.41992,11091.9375,3467.897461,80800.21,87301.98,1.080467241
2010,3,2010-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,63075.552,8405.325,12192.993,11171.456,27847.307,6071.339,4189.859,844.5599976,6669.833008,1230.521973,11311.11621,248.996994,11171.45605,17869.14648,10080.59375,3410.760742,14093.06,91999.45,6.527996759
2010,4,2010-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,68277.57,8028.167,17368.97,8921.456,28469.868,7453.359,6604.564,886.1939697,10150.6582,3726.333008,18161.10156,245.0169983,8921.456055,20507.17383,14434.76855,4284.110352,219556.57,115064.79,0.5240781
2011,1,2011-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,65042.546,8873.997,13967.672,8921.456,29157.926,5937.938,3720.31,951.6879883,6551.854004,1179.141968,11236.22266,226.2819977,8921.456055,18241.82422,10057.08105,3505.227051,216593.77,118245.37,0.545931538
2011,2,2011-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,66577.694,9120.497,13607.66,8921.456,29979.473,6410.738,1982.787,1090.409058,8394.894531,2340.072021,14504.80762,207.8990021,8921.456055,20514.26172,12164.73535,3769.84082,149236.5,119607.49,0.801462712
2011,3,2011-3,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,68093.899,10982.901,13941.914,8921.456,31072.18,7307.286,851.148,1355.833008,7261.836914,1372.097046,12466.62695,194.7480011,8921.456055,20100.20898,11094.53027,3832.693359,82645.71,120174.74,1.454095318
2011,4,2011-4,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,73023.059,10109.023,16599.863,8921.456,22319.405,9583.759,2565.514,1752.822021,12724.18945,4123.678223,20440.77734,204.5780029,8921.456055,17760.38477,16317.09961,3592.910156,16836.69,139963.11,8.31298254
2012,1,2012-1,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,75697.98,11060.503,15105.197,17249.587,23092.035,8145.21,671.16,1267.508057,7686.716797,1217.265991,12638.19824,187.3130035,12921.45605,16054.11816,11420.93262,3734.21582,14093.06,142116.8,10.08416909
2012,2,2012-2,EL PUERTO DE LIVERPOOL S.A.B DE C.V.,LIVERPOOL,EL PUERTO DE LIVERPOOL,5311,452111,78186.019,10917.652,15541.102,17519.148,24408.871,8742.641,659.867,2363.976074,9840.688477,2603.830078,16396.67383,261.7160034,12921.45605,16698.44336,13792.84375,3952.155273,199866.38,149236.5,0.746681358
