time,value,group,Percentage
1986,"11,369,185.00",A,1
1986,"1,698,097.00",B,0.149359607
1986,,C,0
1986,,D,0
1986,"431,105.00",E,0.037918725
1986,"126,767.00",F,0.011150052
1986,"4,750,733.00",G,0.417860471
1986,"4,362,483.00",H,0.383711146
1986,,I,0
1987,"26,524,403.00",A,100.0000%
1987,"3,220,469.00",B,0.121415325
1987,,C,0
1987,,D,0
1987,"735,144.00",E,0.02771576
1987,"133,902.00",F,0.005048257
1987,"11,690,218.00",G,0.440734444
1987,"10,744,670.00",H,0.405086214
1987,,I,0
1988,"51,434,456.00",A,1
1988,"6,433,444.00",B,0.125080432
1988,,C,0
1988,,D,0
1988,"1,204,757.00",E,0.02342315
1988,"118,788.00",F,0.002309502
1988,"2,995,850.00",G,0.058245974
1988,"40,681,617.00",H,0.79094094
1988,,I,0
1989,"152,513,081.00",A,1
1989,"6,948,241.00",B,0.045558328
1989,,C,0
1989,,D,0
1989,"1,230,254.00",E,0.008066547
1989,"66,249.00",F,0.000434382
1989,"224,029.00",G,0.001468917
1989,"18,623,097.00",H,0.122108195
1989,"63,141,604.00",I,0.414007793
1990,"202,778,373.00",A,1
1990,"12,566,921.00",B,0.061973675
1990,,C,0
1990,,D,0
1990,"1,427,341.00",E,0.007038921
1990,"66,641.00",F,0.00032864
1990,"105,006.00",G,0.000517836
1990,"66,203,971.00",H,0.326484378
1990,"75,077,823.00",I,0.370245712
1991,"261,373,196.00",A,1
1991,"24,698,833.00",B,0.094496426
1991,,C,0
1991,,D,0
1991,"1,839,486.00",E,0.007037776
1991,"69,368.00",F,0.000265398
1991,"937,389.00",G,0.003586401
1991,"119,252,767.00",H,0.456254768
1991,"76,901,985.00",I,0.29422292
1992,"346,190,586.00",A,1
1992,"71,474,147.00",B,0.206458956
1992,,C,0
1992,,D,0
1992,"2,000,801.00",E,0.005779478
1992,"19,588,955.00",F,0.056584309
1992,"3,287,405.00",G,0.00949594
1992,"108,066,648.00",H,0.312159407
1992,"76,901,985.00",I,0.222137713
1993,"327,436,947.00",A,1
1993,"86,918,082.00",B,0.26544983
1993,,C,0
1993,,D,0
1993,"1,851,878.00",E,0.005655678
1993,"13,271,649.00",F,0.040531923
1993,"17,742,713.00",G,0.054186655
1993,"142,071,309.00",H,0.43388906
1993,"63,775,236.00",I,0.194771044
1994,"372,607,871.00",A,1
1994,"92,181,142.00",B,0.247394511
1994,,C,0
1994,,D,0
1994,"1,939,862.00",E,0.005206176
1994,"10,267,173.00",F,0.027554901
1994,"22,384,722.00",G,0.060075816
1994,"164,993,870.00",H,0.442808332
1994,"78,249,364.00",I,0.210004592
1995,"497,668,141.00",A,1
1995,"68,052,758.00",B,0.136743248
1995,,C,0
1995,,D,0
1995,"1,500,933.00",E,0.003015931
1995,"6,669,342.00",F,0.013401183
1995,"35,380,038.00",G,0.071091627
1995,"267,243,517.00",H,0.536991411
1995,"114,787,501.00",I,0.230650692
1996,"677,889,632.00",A,1
1996,"101,296,923.00",B,0.149429816
1996,,C,0
1996,,D,0
1996,"1,490,525.00",E,0.002198772
1996,"9,311,428.00",F,0.013735906
1996,"40,998,601.00",G,0.060479758
1996,"320,838,217.00",H,0.473289754
1996,"198,390,207.00",I,0.292658565
1997,"929,027,606.00",A,1
1997,"170,504,288.00",B,0.18352984
1997,,C,0
1997,,D,0
1997,"1,588,918.00",E,0.001710302
1997,"9,670,659.00",F,0.010409442
1997,"60,829,293.00",G,0.065476303
1997,"393,294,974.00",H,0.42334046
1997,"293,139,474.00",I,0.315533653
1998,"1,093,395,786.00",A,1
1998,"208,962,906.00",B,0.191113692
1998,,C,0
1998,,D,0
1998,"1,271,936.00",E,0.00116329
1998,"4,110,777.00",F,0.003759642
1998,"91,272,512.00",G,0.083476188
1998,"461,912,541.00",H,0.422456851
1998,"325,865,114.00",I,0.298030336
1999,"1,383,928,272.00",A,1
1999,"234,115,180.00",B,0.169167134
1999,,C,0
1999,,D,0
1999,"1,183,348.00",E,0.000855065
1999,"4,870,835.00",F,0.003519572
1999,"115,214,678.00",G,0.083251914
1999,"594,620,571.00",H,0.429661409
1999,"433,923,660.00",I,0.313544906
2000,"1,640,195,871.00",A,1
2000,"289,186,162.00",B,0.176311968
2000,,C,0
2000,,D,0
2000,"1,329,692.00",E,0.000810691
2000,"4,791,264.00",F,0.002921154
2000,"119,048,680.00",G,0.07258199
2000,"581,986,031.00",H,0.354827153
2000,"643,854,042.00",I,0.392547045
2001,"1,019,963,134.00",A,1
2001,"326,409,070.00",B,0.320020459
2001,,C,0
2001,,D,0
2001,"1,428,025.00",E,0.001400075
2001,"4,327,153.00",F,0.00424246
2001,"62,917,001.00",G,0.061685564
2001,"624,881,885.00",H,0.612651442
2001,"822,067,206.00",I,0.805977372
2002,"2,056,305,082.00",A,1
2002,"395,903,100.00",B,0.192531305
2002,,C,0
2002,,D,0
2002,"1,494,507.00",E,0.000726792
2002,"2,698,752.00",F,0.001312428
2002,"31,898,752.00",G,0.015512655
2002,"581,090,088.00",H,0.282589433
2002,"1,043,219,883.00",I,0.507327386
2003,"1,655,431,029.00",A,1
2003,"453,499,837.00",B,0.273946682
2003,,C,0
2003,,D,0
2003,"2,971,116.00",E,0.001794769
2003,"2,882,193.00",F,0.001741053
2003,"49,938,323.00",G,0.030166357
2003,"564,663,903.00",H,0.341097813
2003,"581,475,657.00",I,0.351253327
2004,"1,957,810,529.00",A,1
2004,"422,727,174.00",B,0.215918327
2004,,C,0
2004,"121,490,624.00",D,0.062054332
2004,"5,891,522.00",E,0.00300924
2004,,F,0
2004,"657,655,348.00",G,0.335913684
2004,,H,0
2004,"750,045,861.00",I,0.383104417
2005,"2,067,807,173.00",A,1
2005,"470,005,261.00",B,0.227296465
2005,,C,0
2005,"141,313,081.00",D,0.068339584
2005,"1,930,300.00",E,0.000933501
2005,,F,0
2005,"653,588,798.00",G,0.316078214
2005,,H,0
2005,"800,969,734.00",I,0.387352237
2006,"2,243,224,924.00",A,1
2006,"565,113,627.00",B,0.25192018
2006,"164,587,452.00",C,0.073370909
2006,,D,0
2006,,E,0
2006,,F,0
2006,"662,587,104.00",G,0.295372567
2006,,H,0
2006,"850,936,741.00",I,0.379336344
2007,"2,495,342,297.00",A,1
2007,"617,414,591.00",B,0.247426813
2007,"186,831,463.00",C,0.074872078
2007,,D,0
2007,,E,0
2007,,F,0
2007,"660,815,060.00",G,0.264819404
2007,,H,0
2007,"1,030,281,183.00",I,0.412881705
2008,"2,836,236,419.73",A,1
2008,"694,725,908.00",B,0.244946403
2008,"194,789,342.00",C,0.06867881
2008,,D,0
2008,,E,0
2008,,F,0
2008,"844,439,880.00",G,0.297732542
2008,,H,0
2008,"1,102,281,289.73",I,0.388642245
2009,"3,063,766,715.47",A,1
2009,"745,939,568.00",B,0.243471399
2009,"224,007,104.00",C,0.073114935
2009,,D,0
2009,,E,0
2009,,F,0
2009,"901,607,102.00",G,0.294280598
2009,,H,0
2009,"1,192,212,941.47",I,0.389133068
2010,"2,913,188,177.91",A,1
2010,"824,785,442.74",B,0.283121238
2010,"256,244,825.59",C,0.087960272
2010,,D,0
2010,,E,0
2010,,F,0
2010,"891,579,886.21",G,0.306049535
2010,,H,0
2010,"940,578,023.37",I,0.322868955
2011,"3,091,156,254.51",A,1
2011,"1,006,176,029.86",B,0.32550151
2011,"295,974,712.80",C,0.095748868
2011,,D,0
2011,,E,0
2011,,F,0
2011,"888,451,879.13",G,0.287417331
2011,,H,0
2011,"900,553,632.73",I,0.291332291
2012,"3,294,710,364.06",A,1
2012,"1,172,127,631.08",B,0.355760447
2012,"350,636,007.39",C,0.106423925
2012,,D,0
2012,,E,0
2012,,F,0
2012,"905,516,659.46",G,0.274839533
2012,,H,0
2012,"866,430,066.13",I,0.262976095
2013,"3,592,028,691.05",A,1
2013,"1,197,413,951.37",B,0.333353114
2013,"391,314,328.19",C,0.108939644
2013,,D,0
2013,,E,0
2013,,F,0
2013,"961,672,987.67",G,0.267724194
2013,,H,0
2013,"1,041,627,423.82",I,0.289983047
2014,"3,933,851,881.53",A,1
2014,"1,366,289,537.60",B,0.347315959
2014,"430,550,261.24",C,0.109447502
2014,,D,0
2014,,E,0
2014,,F,0
2014,"983,635,069.75",G,0.250043748
2014,,H,0
2014,"1,153,377,012.94",I,0.293192791
2015,"4,173,623,334.35",A,1
2015,"1,444,789,929.62",B,0.346171615
2015,"545,861,741.77",C,0.130788454
2015,,D,0
2015,,E,0
2015,,F,0
2015,"1,093,918,144.02",G,0.262102748
2015,,H,0
2015,"1,089,053,518.94",I,0.260937184
2016,"4,405,650,635.49",A,1
2016,"1,637,428,985.33",B,0.371665645
2016,"631,257,600.51",C,0.143283627
2016,,D,0
2016,,E,0
2016,,F,0
2016,"1,223,001,584.70",G,0.277598404
2016,,H,0
2016,"913,962,464.96",I,0.207452324
2017,"4,927,996,722.06",A,1
2017,"1,866,641,838.29",B,0.378783093
2017,"639,005,336.26",C,0.129668377
2017,,D,0
2017,,E,0
2017,,F,0
2017,"1,354,399,795.51",G,0.274837804
2017,,H,0
2017,"1,067,949,752.00",I,0.216710727
2018,"5,210,477,570.46",A,1
2018,"2,069,973,644.25",B,0.397271386
2018,"706,858,075.62",C,0.1356609
2018,,D,0
2018,,E,0
2018,,F,0
2018,"1,470,772,205.59",G,0.282272054
2018,,H,0
2018,"962,873,645.00",I,0.184795661
2019,"5,615,609,282.15",A,1
2019,"2,087,013,220.28",B,0.371645019
2019,"785,395,782.22",C,0.139859407
2019,,D,0
2019,,E,0
2019,,F,0
2019,"1,734,285,763.03",G,0.308833054
2019,,H,0
2019,"1,008,914,516.62",I,0.17966252
2020,"6,339,773,442.97",A,1
2020,"2,278,269,892.93",B,0.359361405
2020,"1,096,365,388.60",C,0.172934474
2020,,D,0
2020,,E,0
2020,,F,0
2020,"1,824,876,711.44",G,0.287845729
2020,,H,0
2020,"1,140,261,450.00",I,0.179858391
