fecha,PIB,crédito hipotecario,percentage
01/01/1994,  10 343 388,,0
01/04/1994,  10 772 526,,0
01/07/1994,  10 602 753,,0
01/10/1994,  10 952 773,"141,494.9",1.291863666
01/01/1995,  10 189 745,0.0,0
01/04/1995,  9 795 719,0.0,0
01/07/1995,  9 802 904,0.0,0
01/10/1995,  10 198 513,"227,653.0",2.232217513
01/01/1996,  10 426 431,0.0,0
01/04/1996,  10 569 228,0.0,0
01/07/1996,  10 583 112,0.0,0
01/10/1996,  11 116 527,"304,706.2",2.741019842
01/01/1997,  10 862 932,"329,182.3",3.030326424
01/04/1997,  11 460 068,"337,529.2",2.945263476
01/07/1997,  11 408 201,"338,939.1",2.97101274
01/10/1997,  11 887 380,"343,624.6",2.890667225
01/01/1998,  11 827 638,"359,507.5",3.03955447
01/04/1998,  12 034 464,"368,745.9",3.064082402
01/07/1998,  11 972 372,"374,854.3",3.130994529
01/10/1998,  12 139 817,"405,068.9",3.336697029
01/01/1999,  12 100 155,"428,867.1",3.544310928
01/04/1999,  12 315 219,"431,672.1",3.505192212
01/07/1999,  12 325 229,"426,307.3",3.458818457
01/10/1999,  12 554 686,"437,151.4",3.481978022
01/01/2000,  12 725 022,"460,323.4",3.617466419
01/04/2000,  12 994 569,"466,609.1",3.590800923
01/07/2000,  13 008 792,"464,906.8",3.573789106
01/10/2000,  13 003 302,"452,986.6",3.483627423
01/01/2001,  12 796 119,"467,161.2",3.650803668
01/04/2001,  12 967 530,"464,737.7",3.583856705
01/07/2001,  12 857 409,"470,165.0",3.656763295
01/10/2001,  12 901 429,"481,717.1",3.733827409
01/01/2002,  12 415 541,"497,655.0",4.008322973
01/04/2002,  13 112 363,"510,291.9",3.891685345
01/07/2002,  12 889 950,"522,974.5",4.057226728
01/10/2002,  13 084 104,"538,889.2",4.118655617
01/01/2003,  12 803 324,"553,480.6",4.322944678
01/04/2003,  13 182 930,"565,322.7",4.288293255
01/07/2003,  12 954 913,"578,272.6",4.463732043
01/10/2003,  13 305 707,"589,506.5",4.430478455
01/01/2004,  13 252 630,"612,605.9",4.622523374
01/04/2004,  13 732 336,"626,926.2",4.565328142
01/07/2004,  13 438 260,"643,151.2",4.785970768
01/10/2004,  13 872 035,"666,218.0",4.802597612
01/01/2005,  13 354 788,"692,194.9",5.183121638
01/04/2005,  14 104 834,"697,501.6",4.945124506
01/07/2005,  13 782 144,"705,694.6",5.120354117
01/10/2005,  14 306 524,"728,127.7",5.089480219
01/01/2006,  14 107 960,"773,123.7",5.480053096
01/04/2006,  14 700 504,"785,380.6",5.342542028
01/07/2006,  14 435 868,"806,759.2",5.588574351
01/10/2006,  14 800 897,"832,754.7",5.626379811
01/01/2007,  14 393 727,"843,810.4",5.862348078
01/04/2007,  14 993 339,"854,192.4",5.697145766
01/07/2007,  14 783 298,"879,899.6",5.951984368
01/10/2007,  15 204 939,"1,030,001.6",6.774125213
01/01/2008,  14 563 428,"1,077,239.3",7.396879853
01/04/2008,  15 386 334,"1,091,021.4",7.090846958
01/07/2008,  14 979 495,"1,116,950.1",7.456527211
01/10/2008,  15 125 054,"1,110,360.7",7.341201768
01/01/2009,  13 752 149,"1,173,127.2",8.530501061
01/04/2009,  14 012 938,"1,185,151.2",8.457549994
01/07/2009,  14 231 941,"1,196,543.4",8.407450269
01/10/2009,  14 882 966,"1,167,143.8",7.842145336
01/01/2010,  14 371 721,"1,224,732.5",8.521821836
01/04/2010,  14 998 399,"1,236,097.1",8.241526788
01/07/2010,  14 921 453,"1,250,547.0",8.380866239
01/10/2010,  15 499 605,"1,273,815.1",8.218371293
01/01/2011,  14 902 733,"1,331,748.9",8.936272894
01/04/2011,  15 413 046,"1,361,692.5",8.834674606
01/07/2011,  15 526 015,"1,380,505.2",8.891561488
01/10/2011,  16 139 540,"1,393,446.0",8.633740751
01/01/2012,  15 619 753,"1,456,151.6",9.322500972
01/04/2012,  16 027 465,"1,468,574.2",9.162859914
01/07/2012,  15 952 811,"1,499,704.6",9.400879729
01/10/2012,  16 638 865,"1,511,822.1",9.086088973
01/01/2013,  15 719 787,"1,553,420.4",9.881943007
01/04/2013,  16 361 864,"1,556,541.2",9.513226721
01/07/2013,  16 186 109,"1,595,820.5",9.859197982
01/10/2013,  16 840 989,"1,603,390.1",9.52075988
01/01/2014,  16 162 068,"1,671,613.2",10.34281755
01/04/2014,  16 743 445,"1,677,934.9",10.02144389
01/07/2014,  16 649 896,"1,719,009.9",10.32444814
01/10/2014,  17 408 791,"1,728,829.0",9.930781342
01/01/2015,  16 710 227,"1,820,720.5",10.89584514
01/04/2015,  17 261 231,"1,830,301.0",10.6035367
01/07/2015,  17 331 652,"1,871,220.1",10.79654768
01/10/2015,  17 866 322,"1,890,949.7",10.58387811
01/01/2016,  17 166 318,"1,975,268.2",11.50665069
01/04/2016,  17 780 959,"2,008,428.9",11.29539161
01/07/2016,  17 625 592,"2,057,892.1",11.67559133
01/10/2016,  18 416 089,"2,072,998.2",11.25645206
01/01/2017,  17 757 948,"2,148,079.3",12.09643854
01/04/2017,  18 085 551,"2,174,849.7",12.02534372
01/07/2017,  17 900 792,"2,223,660.0",12.42213209
01/10/2017,  18 744 754,"2,253,141.2",12.02011617
01/01/2018,  18 017 105,"2,342,792.0",13.00315441
01/04/2018,  18 667 773,"2,356,093.3",12.6211803
01/07/2018,  18 405 263,"2,409,929.5",13.09369788
01/10/2018,  18 990 033,"2,432,473.2",12.80920992
01/01/2019,  18 275 214,"2,535,503.1",13.87399932
01/04/2019,  18 496 704,"2,562,795.3",13.85541579
01/07/2019,  18 398 056,"2,610,191.1",14.18732012
01/10/2019,  18 869 805,"2,594,628.7",13.75016167
01/01/2020,  18 024 720,"2,676,349.8",14.84821804
