Título,Total,total deflactado,Sector privado no financiero,sector privado no financiero deflactado,Sector financiero no bancario,sector financiero no bancario deflactado,Sector público,sector público,Otros sectores,otros sectores deflactados,Sector externo,sector externo deflactado,Crédito a banca comercial,crédito a banca comercial deflactado
Ene 2004,"933,071.9",18.4,"624,435.9",12.3,"32,885.3",0.6,"80,491.4",1.6,"187,250.0",3.7,"8,009.3",0.2,212.6,0.004201204
Feb 2004,"934,664.1",18.5,"628,582.8",12.4,"32,581.2",0.6,"77,823.4",1.5,"187,606.4",3.7,"8,070.3",0.2,267.5,0.005286087
Mar 2004,"944,278.2",18.7,"632,759.2",12.5,"33,803.6",0.7,"81,975.0",1.6,"187,752.1",3.7,"7,988.3",0.2,376.4,0.007438068
Abr 2004,"952,235.8",18.8,"640,980.8",12.7,"34,531.6",0.7,"84,120.1",1.7,"184,497.7",3.6,"8,105.6",0.2,111.5,0.00220336
May 2004,"958,950.6",18.9,"648,379.7",12.8,"36,903.8",0.7,"82,696.6",1.6,"182,824.7",3.6,"8,145.8",0.2,257.1,0.005080572
Jun 2004,"960,839.1",19.0,"648,857.5",12.8,"40,141.5",0.8,"82,601.5",1.6,"181,266.2",3.6,"7,972.4",0.2,333.1,0.006582413
Jul 2004,"964,659.9",19.1,"653,191.1",12.9,"39,649.6",0.8,"82,305.2",1.6,"181,253.8",3.6,"8,260.2",0.2,525.4,0.010382468
Ago 2004,"974,822.6",19.3,"659,296.4",13.0,"40,800.7",0.8,"85,766.8",1.7,"180,972.6",3.6,"7,986.1",0.2,100.0,0.001976107
Sep 2004,"988,809.8",19.5,"676,081.7",13.4,"41,373.6",0.8,"82,515.7",1.6,"180,536.7",3.6,"8,302.1",0.2,165.7,0.00327441
Oct 2004,"1,023,077.9",20.2,"705,854.3",13.9,"44,760.5",0.9,"85,252.8",1.7,"177,036.0",3.5,"10,174.3",0.2,158.6,0.003134106
Nov 2004,"1,020,009.3",20.2,"716,081.9",14.2,"43,634.6",0.9,"92,487.6",1.8,"158,660.0",3.1,"9,145.2",0.2,200.2,0.003956167
Dic 2004,"993,133.3",19.6,"727,597.5",14.4,"46,264.5",0.9,"103,555.9",2.0,"106,352.2",2.1,"9,363.2",0.2,471.8,0.009323274
Ene 2005,"996,677.6",19.7,"733,898.3",14.5,"45,194.7",0.9,"101,447.1",2.0,"106,625.7",2.1,"9,511.8",0.2,253.5,0.005009432
