value,group,percentage
624435.9,A,0.669225919
32885.3,B,0.035244122
80491.4,C,0.086264949
187250,D,0.200681212
8009.3,E,0.008583797
212.6,F,0.00022785
628582.8,A,0.672522674
32581.2,B,0.034858726
77823.4,C,0.083263495
187606.4,D,0.200720665
8070.3,E,0.008634439
267.5,F,0.000286199
632759.2,A,0.670098282
33803.6,B,0.035798348
81975,C,0.08681234
187752.1,D,0.19883134
7988.3,E,0.008459689
376.4,F,0.000398611
640980.8,A,0.673132432
34531.6,B,0.036263707
84120.1,C,0.088339569
184497.7,D,0.193752115
8105.6,E,0.008512177
111.5,F,0.000117093
648379.7,A,0.67613462
36903.8,B,0.038483526
82696.6,C,0.086236559
182824.7,D,0.190650801
8145.8,E,0.008494494
257.1,F,0.000268106
648857.5,A,0.675302972
40141.5,B,0.041777546
82601.5,C,0.085968088
181266.2,D,0.188654063
7972.4,E,0.008297331
333.1,F,0.000346676
653191.1,A,0.67712061
39649.6,B,0.041102154
82305.2,C,0.085320433
181253.8,D,0.187893992
8260.2,E,0.008562811
525.4,F,0.000544648
659296.4,A,0.676324492
40800.7,B,0.041854487
85766.8,C,0.087981957
180972.6,D,0.185646701
7986.1,E,0.008192362
100,F,0.000102583
676081.7,A,0.683732807
41373.6,B,0.041841818
82515.7,C,0.083449517
180536.7,D,0.182579805
8302.1,E,0.008396054
165.7,F,0.000167575
705854.3,A,0.689932116
44760.5,B,0.043750823
85252.8,C,0.083329725
177036,D,0.173042542
10174.3,E,0.009944795
158.6,F,0.000155022
716081.9,A,0.702034678
43634.6,B,0.04277863
92487.6,C,0.090673291
158660,D,0.155547601
9145.2,E,0.008965801
200.2,F,0.000196273
727597.5,A,0.732628238
46264.5,B,0.046584381
103555.9,C,0.104271904
106352.2,D,0.107087538
9363.2,E,0.009427939
471.8,F,0.000475062
733898.3,A,0.736344732
45194.7,B,0.045345355
101447.1,C,0.101785271
106625.7,D,0.106981134
9511.8,E,0.009543507
253.5,F,0.000254345
738137.1,A,0.735212571
47733.1,B,0.04754398
101667.1,C,0.101264291
106581,D,0.106158722
9859.5,E,0.009820436
405.5,F,0.000403893
744521,A,0.732357638
48635.5,B,0.047840934
105164.8,C,0.103446705
109353,D,0.107566482
8934.2,E,0.008788241
616.6,F,0.000606527
763970.2,A,0.735877701
52286.8,B,0.050364124
104502.3,C,0.100659571
108163.2,D,0.104185853
9253,E,0.008912751
813.6,F,0.000783683
774213.1,A,0.733210225
54435.2,B,0.051552273
106948.2,C,0.101284147
113488.4,D,0.107477974
6837.5,E,0.006475381
703.3,F,0.000666053
776259.6,A,0.738057732
54106.5,B,0.05144377
106460.8,C,0.101221571
109466.5,D,0.104079353
5466.6,E,0.005197574
774.7,F,0.000736575
782276.1,A,0.738112121
53634.2,B,0.050606241
107595.3,C,0.101520927
109729.9,D,0.103535017
6598.2,E,0.006225694
679,F,0.000640667
783518.8,A,0.733715649
55273.9,B,0.051760501
112021.6,C,0.104901122
109583.3,D,0.102617808
7480.4,E,0.00700492
644.3,F,0.000603346
781227.2,A,0.732220625
57173.5,B,0.053586992
103922.6,C,0.09740351
116557.3,D,0.109245632
8048.1,E,0.007543241
614.6,F,0.000576046
800468.8,A,0.736270503
56988.5,B,0.052417973
101461,C,0.093323739
118982.4,D,0.109439908
9293.2,E,0.008547877
567.5,F,0.000521986
826263.3,A,0.745982795
60090.7,B,0.054252232
99909.5,C,0.090202201
113116.3,D,0.102125816
8237.3,E,0.007436956
902.7,F,0.000814993
860228.5,A,0.750455999
62014.6,B,0.054101008
102862.5,C,0.089736367
112919.8,D,0.098510269
8249,E,0.007196357
958.2,F,0.000835925
870167.7,A,0.754419265
59549.1,B,0.051627966
102934.4,C,0.089242217
113026.4,D,0.097991794
7749.6,E,0.00671876
1017.1,F,0.000881807
890315.5,A,0.760795082
58640.3,B,0.050109486
100830.6,C,0.086162068
112858.2,D,0.096439929
7598.9,E,0.006493435
1006.5,F,0.000860077
913508.8,A,0.780614291
59892.4,B,0.049939864
101756.4,C,0.084847173
113294.4,D,0.094467862
10838.4,E,0.009037344
1078.9,F,0.000899615
945764.7,A,0.770078837
61863.5,B,0.050371696
97718.7,C,0.079566411
113236.1,D,0.092201289
9557.1,E,0.007781767
1097.3,F,0.000893465
961475.1,A,0.774720384
61330.2,B,0.049417563
99758.9,C,0.08038196
109993.8,D,0.088628857
8502.8,E,0.006851236
1638.3,F,0.00132008
977228.4,A,0.784050445
54886.1,B,0.044036247
96698,C,0.077582794
109780.1,D,0.088078832
7792,E,0.006251682
2243.6,F,0.001800086
990634.9,A,0.787833358
54982.8,B,0.04372679
95766.6,C,0.076161381
108919.1,D,0.086621318
7113.4,E,0.005657154
1898.2,F,0.001509603
1008071.9,A,0.8007562
56074.8,B,0.0445427
95834.5,C,0.076125592
92016.1,D,0.073092467
6902.6,E,0.005483041
1601.9,F,0.00127246
1042630.3,A,0.81194471
55445.6,B,0.043178068
96703.3,C,0.075307358
82982.9,D,0.064622644
6352.8,E,0.004947221
1646.8,F,0.00128244
1072553.7,A,0.82277955
55920.2,B,0.042897616
93786.2,C,0.071945458
73913.9,D,0.05670098
7399.6,E,0.005676396
1775.9,F,0.001362332
1099999.6,A,0.822106174
61433.2,B,0.045913301
96845.3,C,0.072379225
71154.5,D,0.053178705
8593.6,E,0.006422595
1874.9,F,0.001401243
1134434.4,A,0.826865371
60671.3,B,0.044222034
94721,C,0.069040144
70919.3,D,0.051691586
11223.9,E,0.008180865
2399.2,F,0.001748726
1130413.6,A,0.822570169
60733.9,B,0.04419435
99009.3,C,0.072046282
71120.1,D,0.051752096
12968.9,E,0.009437104
2248.3,F,0.001636025
1166441.2,A,0.827221725
60577.7,B,0.042960751
97988.9,C,0.069492184
71049.3,D,0.050387044
14013.7,E,0.009938295
2094.7,F,0.001485528
1191187.8,A,0.827826457
64016.5,B,0.044488831
98218,C,0.068257464
69842.2,D,0.048537452
15669.7,E,0.010889796
2663,F,0.001850675
1215466.2,A,0.830015818
64267.7,B,0.043887035
101177.5,C,0.069091946
68752.6,D,0.046949677
14725.2,E,0.010055523
